hhid,cid,vid,uid,does_hh_own,does_hh_has_access,hh_head_age,hh_head_educ_years,hh_has_electricity,hh_any_od,baseline_access,baseline_ownership,treat_cat,any_treatment
102137,1003,102,1,0,0,65,1,0,1,.7352941,.45454547,LPP Only,1
102527,1002,102,1,0,0,48,2,,1,.64285713,.36363637,LPP Only,1
102636,1002,102,1,0,0,36,6,1,1,.66666669,.38095239,LPP Only,1
102202,1001,102,1,1,1,48,1,,0,.80952382,.625,LPP Only,1
102221,1001,102,1,0,1,30,9,0,0,.80000001,.60000002,LPP Only,1
102141,1003,102,1,0,0,35,1,,1,.71428573,.43478259,LPP Only,1
102613,1004,102,1,0,0,45,1,,1,.76923078,.63157892,LPP Only,1
102517,1002,102,1,0,0,60,2,0,1,.62962961,.33333334,LPP Only,1
102223,1001,102,1,0,1,28,16,,0,.80952382,.625,LPP Only,1
102533,1002,102,1,0,0,55,2,,1,.64285713,.36363637,LPP Only,1
102648,1002,102,1,1,1,55,13,,0,.64285713,.36363637,LPP Only,1
102219,1001,102,1,0,0,23,9,,1,.80952382,.625,LPP Only,1
102207,1001,102,1,1,1,55,9,,0,.80952382,.625,LPP Only,1
102301,1003,102,1,0,0,66,2,0,1,.70588237,.43478259,LPP Only,1
102531,1002,102,1,0,0,28,8,,1,.64285713,.36363637,LPP Only,1
102444,1153,102,1,0,0,32,8,,1,.5625,.36363637,LPP Only,1
102530,1002,102,1,0,0,40,2,1,1,.66666669,.38095239,LPP Only,1
102229,1001,102,1,1,1,45,2,,0,.80952382,.625,LPP Only,1
102652,1002,102,1,1,1,32,10,,0,.64285713,.36363637,LPP Only,1
102507,1004,102,1,1,1,55,9,,0,.76923078,.63157892,LPP Only,1
102412,1004,102,1,1,1,38,8,1,0,.75999999,.63157892,LPP Only,1
102619,1004,102,1,0,1,45,6,1,0,.75999999,.6111111,LPP Only,1
102102,1001,102,1,1,1,32,12,1,0,.80000001,.60000002,LPP Only,1
102127,1001,102,1,1,1,48,12,,0,.80952382,.625,LPP Only,1
102511,1002,102,1,1,1,32,2,,1,.64285713,.36363637,LPP Only,1
102314,1003,102,1,0,1,32,9,0,1,.70588237,.45454547,LPP Only,1
102234,1001,102,1,1,1,25,15,,0,.80952382,.625,LPP Only,1
102213,1001,102,1,1,1,51,9,,0,.80952382,.625,LPP Only,1
102521,1002,102,1,1,1,50,2,,1,.64285713,.36363637,LPP Only,1
102503,1004,102,1,1,1,35,7,,0,.76923078,.63157892,LPP Only,1
102651,1002,102,1,0,1,43,10,,0,.64285713,.36363637,LPP Only,1
102136,1003,102,1,0,0,45,18,,1,.71428573,.43478259,LPP Only,1
102541,1153,102,1,0,0,45,2,,1,.5625,.36363637,LPP Only,1
102535,1002,102,1,0,0,57,2,,1,.64285713,.36363637,LPP Only,1
102524,1002,102,1,0,0,30,2,,1,.64285713,.36363637,LPP Only,1
102138,1003,102,1,1,1,50,6,,0,.71428573,.43478259,LPP Only,1
102611,1004,102,1,0,1,52,8,,0,.76923078,.63157892,LPP Only,1
102209,1001,102,1,1,1,48,2,,0,.80952382,.625,LPP Only,1
102103,1001,102,1,1,1,34,2,,0,.80952382,.625,LPP Only,1
102208,1001,102,1,0,1,23,10,0,0,.80000001,.60000002,LPP Only,1
102309,1003,102,1,1,1,30,18,0,0,.70588237,.40909091,LPP Only,1
102538,1002,102,1,0,1,27,2,1,0,.62962961,.38095239,LPP Only,1
102646,1002,102,1,1,1,30,13,1,0,.62962961,.36363637,LPP Only,1
102537,1002,102,1,1,1,50,1,,0,.64285713,.36363637,LPP Only,1
102420,1004,102,1,1,1,28,13,,0,.76923078,.63157892,LPP Only,1
102124,1001,102,1,1,1,50,13,,0,.80952382,.625,LPP Only,1
102410,1004,102,1,0,1,34,7,,0,.76923078,.63157892,LPP Only,1
102429,1153,102,1,0,0,35,2,,1,.5625,.36363637,LPP Only,1
102422,1153,102,1,0,0,52,1,,1,.5625,.36363637,LPP Only,1
102509,1002,102,1,1,1,35,2,1,1,.62962961,.33333334,LPP Only,1
102317,1003,102,1,1,1,66,2,0,0,.70588237,.40909091,LPP Only,1
102320,1003,102,1,1,1,30,15,,0,.71428573,.43478259,LPP Only,1
102443,1153,102,1,0,1,65,1,0,1,.60000002,.40000001,LPP Only,1
102315,1003,102,1,0,1,27,9,.m,1,.71428573,.43478259,LPP Only,1
102536,1002,102,1,0,0,43,2,0,1,.66666669,.38095239,LPP Only,1
102520,1002,102,1,0,0,70,1,,1,.64285713,.36363637,LPP Only,1
102628,1004,102,1,0,0,35,1,,1,.76923078,.63157892,LPP Only,1
102616,1004,102,1,0,1,21,8,,0,.76923078,.63157892,LPP Only,1
102116,1001,102,1,1,1,36,8,,0,.80952382,.625,LPP Only,1
102121,1001,102,1,0,1,31,15,0,0,.80000001,.66666669,LPP Only,1
102236,1003,102,1,0,0,48,2,1,1,.70588237,.43478259,LPP Only,1
102204,1001,102,1,0,0,35,2,,1,.80952382,.625,LPP Only,1
102110,1001,102,1,0,0,39,2,1,1,.80000001,.625,LPP Only,1
102512,1002,102,1,1,1,31,2,,1,.64285713,.36363637,LPP Only,1
102318,1003,102,1,1,1,35,12,0,0,.70588237,.43478259,LPP Only,1
102637,1002,102,1,0,0,30,1,,1,.64285713,.36363637,LPP Only,1
102249,1003,102,1,0,0,53,2,0,1,.7352941,.45454547,LPP Only,1
102233,1001,102,1,0,0,65,10,,1,.80952382,.625,LPP Only,1
102122,1001,102,1,1,1,44,7,,0,.80952382,.625,LPP Only,1
102510,1002,102,1,1,1,34,2,,1,.64285713,.36363637,LPP Only,1
102245,1003,102,1,0,0,50,2,0,1,.7352941,.45454547,LPP Only,1
102135,1003,102,1,0,0,44,13,,1,.71428573,.43478259,LPP Only,1
102235,1003,102,1,1,1,52,2,,0,.71428573,.43478259,LPP Only,1
102310,1003,102,1,0,0,36,12,,1,.71428573,.43478259,LPP Only,1
102312,1003,102,1,0,1,40,2,,0,.71428573,.43478259,LPP Only,1
102140,1003,102,1,0,0,44,18,,1,.71428573,.43478259,LPP Only,1
102415,1004,102,1,0,0,35,12,,1,.76923078,.63157892,LPP Only,1
102642,1002,102,1,1,1,35,9,1,0,.62962961,.38095239,LPP Only,1
102505,1004,102,1,1,1,45,10,,0,.76923078,.63157892,LPP Only,1
102106,1001,102,1,1,1,45,1,0,0,.80000001,.60000002,LPP Only,1
102630,1004,102,1,0,0,35,1,0,1,.80000001,.66666669,LPP Only,1
102427,1153,102,1,0,1,28,12,,0,.5625,.36363637,LPP Only,1
102222,1001,102,1,1,1,48,2,,0,.80952382,.625,LPP Only,1
102639,1002,102,1,0,0,45,2,0,1,.66666669,.38095239,LPP Only,1
102529,1002,102,1,0,0,69,2,,1,.64285713,.36363637,LPP Only,1
102626,1004,102,1,0,0,40,8,1,1,.75999999,.6111111,LPP Only,1
102115,1001,102,1,1,1,40,7,0,0,.80000001,.60000002,LPP Only,1
102607,1004,102,1,0,0,52,13,,1,.76923078,.63157892,LPP Only,1
102424,1153,102,1,0,1,42,10,1,0,.53333336,.30000001,LPP Only,1
102253,1003,102,1,1,1,35,20,0,0,.70588237,.43478259,LPP Only,1
102133,1003,102,1,0,0,30,1,0,1,.7352941,.45454547,LPP Only,1
102542,1153,102,1,0,0,28,8,,1,.5625,.36363637,LPP Only,1
102627,1004,102,1,0,0,27,13,,1,.76923078,.63157892,LPP Only,1
102603,1004,102,1,0,0,28,12,1,1,.75999999,.6111111,LPP Only,1
102403,1004,102,1,0,0,62,1,1,1,.80000001,.66666669,LPP Only,1
102600,1004,102,1,0,0,32,1,1,1,.75999999,.6111111,LPP Only,1
102216,1001,102,1,1,1,57,9,,0,.80952382,.625,LPP Only,1
102109,1001,102,1,0,0,58,2,,1,.80952382,.625,LPP Only,1
102205,1001,102,1,0,0,30,2,,1,.80952382,.625,LPP Only,1
102419,1004,102,1,1,1,25,13,1,0,.75999999,.6111111,LPP Only,1
102514,1002,102,1,1,1,55,2,1,0,.62962961,.36363637,LPP Only,1
102211,1001,102,1,1,1,39,9,0,0,.85000002,.66666669,LPP Only,1
102228,1001,102,1,0,1,40,15,0,0,.80000001,.60000002,LPP Only,1
102615,1004,102,1,1,1,42,1,,0,.76923078,.63157892,LPP Only,1
102108,1001,102,1,1,1,28,1,,0,.80952382,.625,LPP Only,1
102513,1002,102,1,1,1,23,1,,1,.64285713,.36363637,LPP Only,1
102421,1153,102,1,0,0,32,2,1,1,.60000002,.40000001,LPP Only,1
102634,1002,102,1,0,0,40,1,,1,.64285713,.36363637,LPP Only,1
102612,1004,102,1,0,1,26,20,1,0,.75999999,.63157892,LPP Only,1
102143,1003,102,1,0,0,35,9,0,1,.7352941,.45454547,LPP Only,1
102303,1003,102,1,1,1,55,13,,0,.71428573,.43478259,LPP Only,1
102523,1002,102,1,1,1,50,2,1,0,.66666669,.38095239,LPP Only,1
102534,1002,102,1,0,0,60,14,1,1,.62962961,.33333334,LPP Only,1
102123,1001,102,1,1,1,29,20,0,0,.80000001,.60000002,LPP Only,1
102428,1153,102,1,0,0,56,2,1,1,.60000002,.40000001,LPP Only,1
102644,1002,102,1,0,0,38,2,1,1,.66666669,.38095239,LPP Only,1
102406,1004,102,1,1,1,47,2,,0,.76923078,.63157892,LPP Only,1
102130,1003,102,1,0,0,21,13,0,1,.7352941,.45454547,LPP Only,1
102614,1004,102,1,1,1,45,9,1,0,.75999999,.6111111,LPP Only,1
102402,1004,102,1,0,0,35,15,1,1,.80000001,.66666669,LPP Only,1
102516,1002,102,1,0,0,30,6,0,1,.66666669,.38095239,LPP Only,1
102306,1003,102,1,0,0,40,2,,1,.71428573,.43478259,LPP Only,1
102212,1001,102,1,0,0,26,9,,1,.80952382,.625,LPP Only,1
102645,1002,102,1,1,1,50,2,1,0,.62962961,.36363637,LPP Only,1
102316,1003,102,1,0,1,23,9,0,0,.70588237,.45454547,LPP Only,1
102407,1004,102,1,1,1,25,8,1,0,.80000001,.66666669,LPP Only,1
102251,1003,102,1,0,0,47,15,,1,.71428573,.43478259,LPP Only,1
102311,1003,102,1,1,1,34,10,0,0,.70588237,.43478259,LPP Only,1
102300,1003,102,1,1,1,38,2,,0,.71428573,.43478259,LPP Only,1
102224,1001,102,1,1,1,65,2,,0,.80952382,.625,LPP Only,1
102132,1003,102,1,0,0,50,1,0,1,.7352941,.45454547,LPP Only,1
102519,1002,102,1,0,0,45,1,1,1,.66666669,.38095239,LPP Only,1
102433,1153,102,1,0,0,28,13,1,1,.60000002,.40000001,LPP Only,1
102206,1001,102,1,0,0,25,2,0,1,.85000002,.66666669,LPP Only,1
102252,1003,102,1,1,1,35,15,,0,.71428573,.43478259,LPP Only,1
102525,1002,102,1,0,0,25,9,1,1,.66666669,.38095239,LPP Only,1
102107,1001,102,1,1,1,30,6,,0,.80952382,.625,LPP Only,1
102632,1002,102,1,0,0,66,7,0,1,.66666669,.38095239,LPP Only,1
102432,1153,102,1,0,0,53,6,0,1,.60000002,.40000001,LPP Only,1
102101,1001,102,1,1,1,70,1,,0,.80952382,.625,LPP Only,1
102528,1002,102,1,0,0,40,2,,1,.64285713,.36363637,LPP Only,1
102242,1003,102,1,1,1,48,2,,1,.71428573,.43478259,LPP Only,1
102105,1001,102,1,1,1,40,3,,0,.80952382,.625,LPP Only,1
102643,1002,102,1,0,0,30,1,,1,.64285713,.36363637,LPP Only,1
102501,1004,102,1,0,0,65,13,,1,.76923078,.63157892,LPP Only,1
102418,1004,102,1,1,1,30,13,,0,.76923078,.63157892,LPP Only,1
102640,1002,102,1,0,0,29,1,,1,.64285713,.36363637,LPP Only,1
102313,1003,102,1,0,1,35,2,0,0,.70588237,.40909091,LPP Only,1
102321,1003,102,1,0,1,24,15,0,0,.70588237,.40909091,LPP Only,1
102408,1004,102,1,1,1,27,12,1,0,.80000001,.66666669,LPP Only,1
102302,1003,102,1,1,1,45,2,0,0,.70588237,.43478259,LPP Only,1
102139,1003,102,1,0,0,39,7,0,1,.7352941,.45454547,LPP Only,1
102601,1004,102,1,0,0,25,8,1,1,.75999999,.6111111,LPP Only,1
102114,1001,102,1,1,1,57,2,0,0,.80000001,.60000002,LPP Only,1
102117,1001,102,1,1,1,36,2,0,0,.80000001,.625,LPP Only,1
102203,1001,102,1,0,0,42,2,,1,.80952382,.625,LPP Only,1
102508,1002,102,1,1,1,60,10,1,0,.62962961,.38095239,LPP Only,1
102113,1001,102,1,0,0,39,8,,1,.80952382,.625,LPP Only,1
102200,1001,102,1,1,1,60,2,,0,.80952382,.625,LPP Only,1
102238,1003,102,1,0,1,36,2,,0,.71428573,.43478259,LPP Only,1
102638,1002,102,1,0,0,60,8,,1,.64285713,.36363637,LPP Only,1
102417,1004,102,1,1,1,55,9,1,0,.75999999,.6111111,LPP Only,1
102610,1004,102,1,0,1,22,8,,0,.76923078,.63157892,LPP Only,1
102227,1001,102,1,1,1,75,10,,0,.80952382,.625,LPP Only,1
102125,1001,102,1,1,1,35,9,,0,.80952382,.625,LPP Only,1
102304,1003,102,1,1,1,40,9,0,0,.70588237,.43478259,LPP Only,1
102244,1003,102,1,0,1,40,2,,0,.71428573,.43478259,LPP Only,1
102231,1001,102,1,1,1,48,2,,0,.80952382,.625,LPP Only,1
102134,1003,102,1,1,1,40,2,,0,.71428573,.43478259,LPP Only,1
102522,1002,102,1,0,1,48,4,1,1,.62962961,.38095239,LPP Only,1
102225,1001,102,1,0,0,40,2,,1,.80952382,.625,LPP Only,1
102220,1001,102,1,0,1,25,12,,0,.80952382,.625,LPP Only,1
102404,1004,102,1,1,1,48,9,,0,.76923078,.63157892,LPP Only,1
102647,1002,102,1,1,1,45,2,1,0,.62962961,.33333334,LPP Only,1
102201,1001,102,1,1,1,25,9,,0,.80952382,.625,LPP Only,1
102129,1001,102,1,1,1,38,2,0,1,.80000001,.60000002,LPP Only,1
102609,1004,102,1,1,1,35,5,1,0,.75999999,.63157892,LPP Only,1
102237,1003,102,1,1,1,30,12,0,0,.70588237,.40909091,LPP Only,1
102437,1153,102,1,0,0,29,2,1,1,.60000002,.40000001,LPP Only,1
102400,1004,102,1,1,1,49,2,1,0,.75999999,.63157892,LPP Only,1
102606,1004,102,1,1,1,26,1,,0,.76923078,.63157892,LPP Only,1
102307,1003,102,1,1,1,65,1,0,1,.70588237,.40909091,LPP Only,1
102218,1001,102,1,0,0,48,2,0,1,.85000002,.66666669,LPP Only,1
102502,1004,102,1,1,1,60,2,,0,.76923078,.63157892,LPP Only,1
102131,1003,102,1,0,0,20,7,,1,.71428573,.43478259,LPP Only,1
102305,1003,102,1,1,1,34,8,0,0,.70588237,.43478259,LPP Only,1
102214,1001,102,1,0,0,67,1,0,1,.85000002,.66666669,LPP Only,1
102700,1001,102,1,1,1,25,2,,0,.80952382,.625,LPP Only,1
102411,1004,102,1,0,1,31,5,1,0,.75999999,.66666669,LPP Only,1
102323,1003,102,1,0,0,26,1,0,0,.7352941,.45454547,LPP Only,1
102605,1004,102,1,0,1,30,15,,0,.76923078,.63157892,LPP Only,1
102308,1003,102,1,0,0,37,14,,1,.71428573,.43478259,LPP Only,1
102142,1003,102,1,0,0,60,1,,1,.71428573,.43478259,LPP Only,1
102112,1001,102,1,0,0,45,1,,1,.80952382,.625,LPP Only,1
102540,1153,102,1,0,0,28,14,,1,.5625,.36363637,LPP Only,1
103602,1006,103,1,1,1,50,1,0,0,1,.77777779,LPP+Subsidy+Supply,1
103305,1005,103,1,0,1,30,12,,0,.78260869,.69565219,LPP+Subsidy,1
103700,1006,103,1,1,1,40,1,,0,1,.78947371,LPP+Subsidy+Supply,1
103908,1006,103,1,0,0,36,11,,1,1,.78947371,LPP+Subsidy+Supply,1
103102,1005,103,1,0,0,60,1,,1,.78260869,.69565219,LPP+Subsidy,1
103604,1006,103,1,0,1,25,9,,0,1,.78947371,LPP+Subsidy+Supply,1
103805,1006,103,1,1,1,48,2,,0,1,.78947371,LPP+Subsidy+Supply,1
103101,1005,103,1,0,0,30,9,,1,.78260869,.69565219,LPP+Subsidy,1
103810,1006,103,1,1,1,43,2,0,0,1,.77777779,LPP+Subsidy+Supply,1
103306,1005,103,1,1,1,29,18,1,0,.77272725,.68181819,LPP+Subsidy,1
103407,1005,103,1,0,0,30,2,0,1,.81818181,.72727275,LPP+Subsidy,1
103309,1005,103,1,0,0,22,5,,1,.78260869,.69565219,LPP+Subsidy,1
103708,1006,103,1,1,1,54,15,0,0,1,.77777779,LPP+Subsidy+Supply,1
103906,1006,103,1,0,0,42,9,1,1,1,.83333331,LPP+Subsidy+Supply,1
103600,1006,103,1,1,1,40,1,,0,1,.78947371,LPP+Subsidy+Supply,1
103202,1005,103,1,0,1,29,8,,0,.78260869,.69565219,LPP+Subsidy,1
103408,1005,103,1,0,0,29,8,.m,1,.78260869,.69565219,LPP+Subsidy,1
103501,1005,103,1,1,1,40,8,1,0,.81818181,.72727275,LPP+Subsidy,1
103204,1005,103,1,1,1,43,1,,0,.78260869,.69565219,LPP+Subsidy,1
103605,1006,103,1,1,1,35,2,0,0,1,.77777779,LPP+Subsidy+Supply,1
103611,1006,103,1,0,1,38,2,0,0,1,.83333331,LPP+Subsidy+Supply,1
103503,1005,103,1,0,0,32,15,1,1,.77272725,.72727275,LPP+Subsidy,1
103207,1005,103,1,0,0,50,12,0,1,.81818181,.72727275,LPP+Subsidy,1
103606,1006,103,1,1,1,46,9,,0,1,.78947371,LPP+Subsidy+Supply,1
103807,1005,103,1,1,1,37,2,,0,.78260869,.69565219,LPP+Subsidy,1
103208,1005,103,1,0,0,40,2,,1,.78260869,.69565219,LPP+Subsidy,1
103304,1005,103,1,0,1,52,9,,0,.78260869,.69565219,LPP+Subsidy,1
103905,1006,103,1,0,0,45,13,,1,1,.78947371,LPP+Subsidy+Supply,1
103801,1005,103,1,0,0,56,1,,1,.78260869,.69565219,LPP+Subsidy,1
103703,1006,103,1,1,1,35,2,,0,1,.78947371,LPP+Subsidy+Supply,1
103702,1006,103,1,1,1,40,7,,0,1,.78947371,LPP+Subsidy+Supply,1
103507,1005,103,1,0,1,30,18,1,0,.77272725,.68181819,LPP+Subsidy,1
103800,1005,103,1,0,0,55,2,,1,.78260869,.69565219,LPP+Subsidy,1
103909,1006,103,1,0,0,30,11,,1,1,.78947371,LPP+Subsidy+Supply,1
103806,1005,103,1,0,1,30,9,,0,.78260869,.69565219,LPP+Subsidy,1
103505,1005,103,1,0,1,26,14,,0,.78260869,.69565219,LPP+Subsidy,1
103203,1005,103,1,0,1,33,1,1,0,.77272725,.68181819,LPP+Subsidy,1
103612,1006,103,1,1,1,50,9,0,0,1,.77777779,LPP+Subsidy+Supply,1
103301,1005,103,1,1,1,50,9,1,0,.77272725,.68181819,LPP+Subsidy,1
103310,1005,103,1,1,1,70,2,1,0,.77272725,.68181819,LPP+Subsidy,1
103802,1005,103,1,1,1,40,2,1,1,.77272725,.68181819,LPP+Subsidy,1
103500,1005,103,1,1,1,65,2,1,0,.77272725,.72727275,LPP+Subsidy,1
103205,1005,103,1,0,0,45,1,,1,.78260869,.69565219,LPP+Subsidy,1
103308,1005,103,1,0,0,45,6,,1,.78260869,.69565219,LPP+Subsidy,1
103910,1006,103,1,1,1,60,1,0,0,1,.77777779,LPP+Subsidy+Supply,1
103603,1006,103,1,1,1,30,5,0,0,1,.77777779,LPP+Subsidy+Supply,1
103100,1005,103,1,0,0,50,6,,1,.78260869,.69565219,LPP+Subsidy,1
103706,1006,103,1,0,0,45,2,0,1,1,.77777779,LPP+Subsidy+Supply,1
103911,1006,103,1,0,1,24,9,,0,1,.78947371,LPP+Subsidy+Supply,1
103907,1006,103,1,0,0,38,20,1,1,1,.83333331,LPP+Subsidy+Supply,1
103201,1005,103,1,1,1,37,21,1,0,.77272725,.68181819,LPP+Subsidy,1
103705,1006,103,1,1,1,30,2,,0,1,.78947371,LPP+Subsidy+Supply,1
103406,1005,103,1,1,1,80,2,1,0,.81818181,.72727275,LPP+Subsidy,1
103613,1006,103,1,0,1,27,2,,0,1,.78947371,LPP+Subsidy+Supply,1
103307,1005,103,1,0,0,50,2,1,1,.81818181,.72727275,LPP+Subsidy,1
103300,1005,103,1,1,1,40,5,1,0,.77272725,.68181819,LPP+Subsidy,1
103607,1006,103,1,1,1,21,9,,0,1,.78947371,LPP+Subsidy+Supply,1
103504,1005,103,1,1,1,45,2,1,0,.77272725,.68181819,LPP+Subsidy,1
103506,1005,103,1,1,1,50,2,,0,.78260869,.69565219,LPP+Subsidy,1
103608,1006,103,1,1,1,55,1,0,0,1,.77777779,LPP+Subsidy+Supply,1
103614,1006,103,1,1,1,30,2,0,0,1,.83333331,LPP+Subsidy+Supply,1
103609,1006,103,1,1,1,60,2,,0,1,.78947371,LPP+Subsidy+Supply,1
103901,1006,103,1,0,1,43,2,1,0,1,.77777779,LPP+Subsidy+Supply,1
103701,1006,103,1,1,1,41,1,0,0,1,.77777779,LPP+Subsidy+Supply,1
103405,1005,103,1,1,1,48,1,,0,.78260869,.69565219,LPP+Subsidy,1
103902,1006,103,1,0,1,34,9,,0,1,.78947371,LPP+Subsidy+Supply,1
103707,1006,103,1,1,1,35,2,0,1,1,.77777779,LPP+Subsidy+Supply,1
103103,1005,103,1,0,0,35,2,,1,.78260869,.69565219,LPP+Subsidy,1
104414,1007,104,1,0,0,47,9,1,1,.40625,.40625,Control,0
104402,1007,104,1,0,0,72,11,,1,.39393941,.39393941,Control,0
104212,1007,104,1,0,0,35,7,1,1,.375,.375,Control,0
104215,1007,104,1,0,0,25,8,1,1,.375,.375,Control,0
104406,1007,104,1,0,0,60,1,1,1,.40625,.40625,Control,0
