hhid,cid,vid,uid,does_hh_own,does_hh_has_access,hh_head_age,hh_head_educ_years,hh_has_electricity,hh_any_od,baseline_access,baseline_ownership,treat_cat,any_treatment,hh_head_age_flag_outlier,hh_head_educ_years_flag_outlier
101212,1151,101,1,1,1,30.0,3.0,1.0,0,0.86956519,0.69565219,LPP Only,1,0,0
101206,1151,101,1,1,1,25.0,2.0,1.0,0,0.86956519,0.69565219,LPP Only,1,0,0
101504,1151,101,1,0,0,45.0,15.0,,1,0.875,0.70833331,LPP Only,1,0,0
101516,1152,101,1,0,0,50.0,2.0,,1,0.68181819,0.5,LPP Only,1,0,0
101510,1152,101,1,0,0,35.0,8.0,,1,0.68181819,0.5,LPP Only,1,0,0
101517,1152,101,1,0,0,22.0,2.0,,1,0.68181819,0.5,LPP Only,1,0,0
101410,1151,101,1,0,0,48.0,7.0,1.0,1,0.86956519,0.73913044,LPP Only,1,0,0
101518,1152,101,1,0,1,45.0,2.0,,0,0.68181819,0.5,LPP Only,1,0,0
101401,1151,101,1,1,1,39.0,2.0,,0,0.875,0.70833331,LPP Only,1,0,0
101215,1152,101,1,1,1,35.0,3.0,1.0,0,0.66666669,0.47619048,LPP Only,1,0,0
101506,1151,101,1,1,1,42.0,1.0,,0,0.875,0.70833331,LPP Only,1,0,0
101403,1151,101,1,1,1,50.0,2.0,1.0,0,0.9130435,0.73913044,LPP Only,1,0,0
101312,1151,101,1,1,1,42.0,2.0,1.0,0,0.86956519,0.69565219,LPP Only,1,0,0
101310,1152,101,1,1,1,55.0,1.0,1.0,0,0.66666669,0.47619048,LPP Only,1,0,0
101308,1152,101,1,1,1,42.0,13.0,1.0,0,0.66666669,0.52380955,LPP Only,1,0,0
101300,1152,101,1,0,0,55.0,7.0,,1,0.68181819,0.5,LPP Only,1,0,0
101500,1152,101,1,1,1,48.0,9.0,0.0,0,0.66666669,0.47619048,LPP Only,1,0,0
101411,1151,101,1,1,1,26.0,10.0,,0,0.875,0.70833331,LPP Only,1,0,0
101700,1151,101,1,0,1,26.0,9.0,,0,0.875,0.70833331,LPP Only,1,0,0
101512,1152,101,1,0,0,32.0,8.0,0.0,1,0.71428573,0.52380955,LPP Only,1,0,0
101600,1151,101,1,1,1,55.0,8.0,,0,0.875,0.70833331,LPP Only,1,0,0
101200,1151,101,1,0,0,65.0,7.0,,1,0.875,0.70833331,LPP Only,1,0,0
101612,1152,101,1,1,1,40.0,9.0,1.0,0,0.66666669,0.47619048,LPP Only,1,0,0
101311,1152,101,1,0,1,27.0,9.0,,0,0.68181819,0.5,LPP Only,1,0,0
101203,1151,101,1,0,0,50.0,2.0,1.0,1,0.86956519,0.69565219,LPP Only,1,0,0
101111,1151,101,1,0,1,32.0,15.0,,0,0.875,0.70833331,LPP Only,1,0,0
101606,1152,101,1,0,1,26.0,1.0,1.0,0,0.66666669,0.52380955,LPP Only,1,0,0
101509,1152,101,1,0,0,60.0,2.0,0.0,1,0.71428573,0.52380955,LPP Only,1,0,0
101214,1152,101,1,1,1,30.0,1.0,,0,0.68181819,0.5,LPP Only,1,0,0
101604,1151,101,1,0,0,40.0,1.0,,1,0.875,0.70833331,LPP Only,1,0,0
101103,1151,101,1,0,0,30.0,12.0,,1,0.875,0.70833331,LPP Only,1,0,0
101613,1151,101,1,1,1,41.0,9.0,,0,0.875,0.70833331,LPP Only,1,0,0
102635,1002,102,1,0,0,25.0,1.0,1.0,1,0.62962961,0.36363637,LPP Only,1,0,0
102633,1002,102,1,0,0,28.0,6.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102215,1001,102,1,1,1,42.0,6.0,0.0,0,0.80000001,0.66666669,LPP Only,1,0,0
102319,1003,102,1,0,0,30.0,2.0,0.0,1,0.70588237,0.40909091,LPP Only,1,0,0
102239,1003,102,1,1,1,55.0,2.0,0.0,0,0.70588237,0.40909091,LPP Only,1,0,0
102243,1003,102,1,1,1,35.0,18.0,0.0,0,0.70588237,0.43478259,LPP Only,1,0,0
102608,1004,102,1,0,1,60.0,1.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102650,1002,102,1,0,1,40.0,2.0,1.0,0,0.62962961,0.33333334,LPP Only,1,0,0
102137,1003,102,1,0,0,65.0,1.0,0.0,1,0.7352941,0.45454547,LPP Only,1,0,0
102527,1002,102,1,0,0,48.0,2.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102636,1002,102,1,0,0,36.0,6.0,1.0,1,0.66666669,0.38095239,LPP Only,1,0,0
102202,1001,102,1,1,1,48.0,1.0,,0,0.80952382,0.625,LPP Only,1,0,0
102221,1001,102,1,0,1,30.0,9.0,0.0,0,0.80000001,0.60000002,LPP Only,1,0,0
102141,1003,102,1,0,0,35.0,1.0,,1,0.71428573,0.43478259,LPP Only,1,0,0
102613,1004,102,1,0,0,45.0,1.0,,1,0.76923078,0.63157892,LPP Only,1,0,0
102517,1002,102,1,0,0,60.0,2.0,0.0,1,0.62962961,0.33333334,LPP Only,1,0,0
102223,1001,102,1,0,1,28.0,16.0,,0,0.80952382,0.625,LPP Only,1,0,0
102533,1002,102,1,0,0,55.0,2.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102648,1002,102,1,1,1,55.0,13.0,,0,0.64285713,0.36363637,LPP Only,1,0,0
102219,1001,102,1,0,0,23.0,9.0,,1,0.80952382,0.625,LPP Only,1,0,0
102207,1001,102,1,1,1,55.0,9.0,,0,0.80952382,0.625,LPP Only,1,0,0
102301,1003,102,1,0,0,66.0,2.0,0.0,1,0.70588237,0.43478259,LPP Only,1,0,0
102531,1002,102,1,0,0,28.0,8.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102444,1153,102,1,0,0,32.0,8.0,,1,0.5625,0.36363637,LPP Only,1,0,0
102530,1002,102,1,0,0,40.0,2.0,1.0,1,0.66666669,0.38095239,LPP Only,1,0,0
102229,1001,102,1,1,1,45.0,2.0,,0,0.80952382,0.625,LPP Only,1,0,0
102652,1002,102,1,1,1,32.0,10.0,,0,0.64285713,0.36363637,LPP Only,1,0,0
102507,1004,102,1,1,1,55.0,9.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102412,1004,102,1,1,1,38.0,8.0,1.0,0,0.75999999,0.63157892,LPP Only,1,0,0
102619,1004,102,1,0,1,45.0,6.0,1.0,0,0.75999999,0.6111111,LPP Only,1,0,0
102102,1001,102,1,1,1,32.0,12.0,1.0,0,0.80000001,0.60000002,LPP Only,1,0,0
102127,1001,102,1,1,1,48.0,12.0,,0,0.80952382,0.625,LPP Only,1,0,0
102511,1002,102,1,1,1,32.0,2.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102314,1003,102,1,0,1,32.0,9.0,0.0,1,0.70588237,0.45454547,LPP Only,1,0,0
102234,1001,102,1,1,1,25.0,15.0,,0,0.80952382,0.625,LPP Only,1,0,0
102213,1001,102,1,1,1,51.0,9.0,,0,0.80952382,0.625,LPP Only,1,0,0
102521,1002,102,1,1,1,50.0,2.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102503,1004,102,1,1,1,35.0,7.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102651,1002,102,1,0,1,43.0,10.0,,0,0.64285713,0.36363637,LPP Only,1,0,0
102136,1003,102,1,0,0,45.0,18.0,,1,0.71428573,0.43478259,LPP Only,1,0,0
102541,1153,102,1,0,0,45.0,2.0,,1,0.5625,0.36363637,LPP Only,1,0,0
102535,1002,102,1,0,0,57.0,2.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102524,1002,102,1,0,0,30.0,2.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102138,1003,102,1,1,1,50.0,6.0,,0,0.71428573,0.43478259,LPP Only,1,0,0
102611,1004,102,1,0,1,52.0,8.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102209,1001,102,1,1,1,48.0,2.0,,0,0.80952382,0.625,LPP Only,1,0,0
102103,1001,102,1,1,1,34.0,2.0,,0,0.80952382,0.625,LPP Only,1,0,0
102208,1001,102,1,0,1,23.0,10.0,0.0,0,0.80000001,0.60000002,LPP Only,1,0,0
102309,1003,102,1,1,1,30.0,18.0,0.0,0,0.70588237,0.40909091,LPP Only,1,0,0
102538,1002,102,1,0,1,27.0,2.0,1.0,0,0.62962961,0.38095239,LPP Only,1,0,0
102646,1002,102,1,1,1,30.0,13.0,1.0,0,0.62962961,0.36363637,LPP Only,1,0,0
102537,1002,102,1,1,1,50.0,1.0,,0,0.64285713,0.36363637,LPP Only,1,0,0
102420,1004,102,1,1,1,28.0,13.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102124,1001,102,1,1,1,50.0,13.0,,0,0.80952382,0.625,LPP Only,1,0,0
102410,1004,102,1,0,1,34.0,7.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102429,1153,102,1,0,0,35.0,2.0,,1,0.5625,0.36363637,LPP Only,1,0,0
102422,1153,102,1,0,0,52.0,1.0,,1,0.5625,0.36363637,LPP Only,1,0,0
102509,1002,102,1,1,1,35.0,2.0,1.0,1,0.62962961,0.33333334,LPP Only,1,0,0
102317,1003,102,1,1,1,66.0,2.0,0.0,0,0.70588237,0.40909091,LPP Only,1,0,0
102320,1003,102,1,1,1,30.0,15.0,,0,0.71428573,0.43478259,LPP Only,1,0,0
102443,1153,102,1,0,1,65.0,1.0,0.0,1,0.60000002,0.40000001,LPP Only,1,0,0
102315,1003,102,1,0,1,27.0,9.0,,1,0.71428573,0.43478259,LPP Only,1,0,0
102536,1002,102,1,0,0,43.0,2.0,0.0,1,0.66666669,0.38095239,LPP Only,1,0,0
102520,1002,102,1,0,0,70.0,1.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102628,1004,102,1,0,0,35.0,1.0,,1,0.76923078,0.63157892,LPP Only,1,0,0
102616,1004,102,1,0,1,21.0,8.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102116,1001,102,1,1,1,36.0,8.0,,0,0.80952382,0.625,LPP Only,1,0,0
102121,1001,102,1,0,1,31.0,15.0,0.0,0,0.80000001,0.66666669,LPP Only,1,0,0
102236,1003,102,1,0,0,48.0,2.0,1.0,1,0.70588237,0.43478259,LPP Only,1,0,0
102204,1001,102,1,0,0,35.0,2.0,,1,0.80952382,0.625,LPP Only,1,0,0
102110,1001,102,1,0,0,39.0,2.0,1.0,1,0.80000001,0.625,LPP Only,1,0,0
102512,1002,102,1,1,1,31.0,2.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102318,1003,102,1,1,1,35.0,12.0,0.0,0,0.70588237,0.43478259,LPP Only,1,0,0
102637,1002,102,1,0,0,30.0,1.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102249,1003,102,1,0,0,53.0,2.0,0.0,1,0.7352941,0.45454547,LPP Only,1,0,0
102233,1001,102,1,0,0,65.0,10.0,,1,0.80952382,0.625,LPP Only,1,0,0
102122,1001,102,1,1,1,44.0,7.0,,0,0.80952382,0.625,LPP Only,1,0,0
102510,1002,102,1,1,1,34.0,2.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102245,1003,102,1,0,0,50.0,2.0,0.0,1,0.7352941,0.45454547,LPP Only,1,0,0
102135,1003,102,1,0,0,44.0,13.0,,1,0.71428573,0.43478259,LPP Only,1,0,0
102235,1003,102,1,1,1,52.0,2.0,,0,0.71428573,0.43478259,LPP Only,1,0,0
102310,1003,102,1,0,0,36.0,12.0,,1,0.71428573,0.43478259,LPP Only,1,0,0
102312,1003,102,1,0,1,40.0,2.0,,0,0.71428573,0.43478259,LPP Only,1,0,0
102140,1003,102,1,0,0,44.0,18.0,,1,0.71428573,0.43478259,LPP Only,1,0,0
102415,1004,102,1,0,0,35.0,12.0,,1,0.76923078,0.63157892,LPP Only,1,0,0
102642,1002,102,1,1,1,35.0,9.0,1.0,0,0.62962961,0.38095239,LPP Only,1,0,0
102505,1004,102,1,1,1,45.0,10.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102106,1001,102,1,1,1,45.0,1.0,0.0,0,0.80000001,0.60000002,LPP Only,1,0,0
102630,1004,102,1,0,0,35.0,1.0,0.0,1,0.80000001,0.66666669,LPP Only,1,0,0
102427,1153,102,1,0,1,28.0,12.0,,0,0.5625,0.36363637,LPP Only,1,0,0
102222,1001,102,1,1,1,48.0,2.0,,0,0.80952382,0.625,LPP Only,1,0,0
102639,1002,102,1,0,0,45.0,2.0,0.0,1,0.66666669,0.38095239,LPP Only,1,0,0
102529,1002,102,1,0,0,69.0,2.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102626,1004,102,1,0,0,40.0,8.0,1.0,1,0.75999999,0.6111111,LPP Only,1,0,0
102115,1001,102,1,1,1,40.0,7.0,0.0,0,0.80000001,0.60000002,LPP Only,1,0,0
102607,1004,102,1,0,0,52.0,13.0,,1,0.76923078,0.63157892,LPP Only,1,0,0
102424,1153,102,1,0,1,42.0,10.0,1.0,0,0.53333336,0.30000001,LPP Only,1,0,0
102253,1003,102,1,1,1,35.0,20.0,0.0,0,0.70588237,0.43478259,LPP Only,1,0,0
102133,1003,102,1,0,0,30.0,1.0,0.0,1,0.7352941,0.45454547,LPP Only,1,0,0
102542,1153,102,1,0,0,28.0,8.0,,1,0.5625,0.36363637,LPP Only,1,0,0
102627,1004,102,1,0,0,27.0,13.0,,1,0.76923078,0.63157892,LPP Only,1,0,0
102603,1004,102,1,0,0,28.0,12.0,1.0,1,0.75999999,0.6111111,LPP Only,1,0,0
102403,1004,102,1,0,0,62.0,1.0,1.0,1,0.80000001,0.66666669,LPP Only,1,0,0
102600,1004,102,1,0,0,32.0,1.0,1.0,1,0.75999999,0.6111111,LPP Only,1,0,0
102216,1001,102,1,1,1,57.0,9.0,,0,0.80952382,0.625,LPP Only,1,0,0
102109,1001,102,1,0,0,58.0,2.0,,1,0.80952382,0.625,LPP Only,1,0,0
102205,1001,102,1,0,0,30.0,2.0,,1,0.80952382,0.625,LPP Only,1,0,0
102419,1004,102,1,1,1,25.0,13.0,1.0,0,0.75999999,0.6111111,LPP Only,1,0,0
102514,1002,102,1,1,1,55.0,2.0,1.0,0,0.62962961,0.36363637,LPP Only,1,0,0
102211,1001,102,1,1,1,39.0,9.0,0.0,0,0.85000002,0.66666669,LPP Only,1,0,0
102228,1001,102,1,0,1,40.0,15.0,0.0,0,0.80000001,0.60000002,LPP Only,1,0,0
102615,1004,102,1,1,1,42.0,1.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102108,1001,102,1,1,1,28.0,1.0,,0,0.80952382,0.625,LPP Only,1,0,0
102513,1002,102,1,1,1,23.0,1.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102421,1153,102,1,0,0,32.0,2.0,1.0,1,0.60000002,0.40000001,LPP Only,1,0,0
102634,1002,102,1,0,0,40.0,1.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102612,1004,102,1,0,1,26.0,20.0,1.0,0,0.75999999,0.63157892,LPP Only,1,0,0
102143,1003,102,1,0,0,35.0,9.0,0.0,1,0.7352941,0.45454547,LPP Only,1,0,0
102303,1003,102,1,1,1,55.0,13.0,,0,0.71428573,0.43478259,LPP Only,1,0,0
102523,1002,102,1,1,1,50.0,2.0,1.0,0,0.66666669,0.38095239,LPP Only,1,0,0
102534,1002,102,1,0,0,60.0,14.0,1.0,1,0.62962961,0.33333334,LPP Only,1,0,0
102123,1001,102,1,1,1,29.0,20.0,0.0,0,0.80000001,0.60000002,LPP Only,1,0,0
102428,1153,102,1,0,0,56.0,2.0,1.0,1,0.60000002,0.40000001,LPP Only,1,0,0
102644,1002,102,1,0,0,38.0,2.0,1.0,1,0.66666669,0.38095239,LPP Only,1,0,0
102406,1004,102,1,1,1,47.0,2.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102130,1003,102,1,0,0,21.0,13.0,0.0,1,0.7352941,0.45454547,LPP Only,1,0,0
102614,1004,102,1,1,1,45.0,9.0,1.0,0,0.75999999,0.6111111,LPP Only,1,0,0
102402,1004,102,1,0,0,35.0,15.0,1.0,1,0.80000001,0.66666669,LPP Only,1,0,0
102516,1002,102,1,0,0,30.0,6.0,0.0,1,0.66666669,0.38095239,LPP Only,1,0,0
102306,1003,102,1,0,0,40.0,2.0,,1,0.71428573,0.43478259,LPP Only,1,0,0
102212,1001,102,1,0,0,26.0,9.0,,1,0.80952382,0.625,LPP Only,1,0,0
102645,1002,102,1,1,1,50.0,2.0,1.0,0,0.62962961,0.36363637,LPP Only,1,0,0
102316,1003,102,1,0,1,23.0,9.0,0.0,0,0.70588237,0.45454547,LPP Only,1,0,0
102407,1004,102,1,1,1,25.0,8.0,1.0,0,0.80000001,0.66666669,LPP Only,1,0,0
102251,1003,102,1,0,0,47.0,15.0,,1,0.71428573,0.43478259,LPP Only,1,0,0
102311,1003,102,1,1,1,34.0,10.0,0.0,0,0.70588237,0.43478259,LPP Only,1,0,0
102300,1003,102,1,1,1,38.0,2.0,,0,0.71428573,0.43478259,LPP Only,1,0,0
102224,1001,102,1,1,1,65.0,2.0,,0,0.80952382,0.625,LPP Only,1,0,0
102132,1003,102,1,0,0,50.0,1.0,0.0,1,0.7352941,0.45454547,LPP Only,1,0,0
102519,1002,102,1,0,0,45.0,1.0,1.0,1,0.66666669,0.38095239,LPP Only,1,0,0
102433,1153,102,1,0,0,28.0,13.0,1.0,1,0.60000002,0.40000001,LPP Only,1,0,0
102206,1001,102,1,0,0,25.0,2.0,0.0,1,0.85000002,0.66666669,LPP Only,1,0,0
102252,1003,102,1,1,1,35.0,15.0,,0,0.71428573,0.43478259,LPP Only,1,0,0
102525,1002,102,1,0,0,25.0,9.0,1.0,1,0.66666669,0.38095239,LPP Only,1,0,0
102107,1001,102,1,1,1,30.0,6.0,,0,0.80952382,0.625,LPP Only,1,0,0
102632,1002,102,1,0,0,66.0,7.0,0.0,1,0.66666669,0.38095239,LPP Only,1,0,0
102432,1153,102,1,0,0,53.0,6.0,0.0,1,0.60000002,0.40000001,LPP Only,1,0,0
102101,1001,102,1,1,1,70.0,1.0,,0,0.80952382,0.625,LPP Only,1,0,0
102528,1002,102,1,0,0,40.0,2.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102242,1003,102,1,1,1,48.0,2.0,,1,0.71428573,0.43478259,LPP Only,1,0,0
102105,1001,102,1,1,1,40.0,3.0,,0,0.80952382,0.625,LPP Only,1,0,0
102643,1002,102,1,0,0,30.0,1.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102501,1004,102,1,0,0,65.0,13.0,,1,0.76923078,0.63157892,LPP Only,1,0,0
102418,1004,102,1,1,1,30.0,13.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102640,1002,102,1,0,0,29.0,1.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102313,1003,102,1,0,1,35.0,2.0,0.0,0,0.70588237,0.40909091,LPP Only,1,0,0
102321,1003,102,1,0,1,24.0,15.0,0.0,0,0.70588237,0.40909091,LPP Only,1,0,0
102408,1004,102,1,1,1,27.0,12.0,1.0,0,0.80000001,0.66666669,LPP Only,1,0,0
102302,1003,102,1,1,1,45.0,2.0,0.0,0,0.70588237,0.43478259,LPP Only,1,0,0
102139,1003,102,1,0,0,39.0,7.0,0.0,1,0.7352941,0.45454547,LPP Only,1,0,0
102601,1004,102,1,0,0,25.0,8.0,1.0,1,0.75999999,0.6111111,LPP Only,1,0,0
102114,1001,102,1,1,1,57.0,2.0,0.0,0,0.80000001,0.60000002,LPP Only,1,0,0
102117,1001,102,1,1,1,36.0,2.0,0.0,0,0.80000001,0.625,LPP Only,1,0,0
102203,1001,102,1,0,0,42.0,2.0,,1,0.80952382,0.625,LPP Only,1,0,0
102508,1002,102,1,1,1,60.0,10.0,1.0,0,0.62962961,0.38095239,LPP Only,1,0,0
102113,1001,102,1,0,0,39.0,8.0,,1,0.80952382,0.625,LPP Only,1,0,0
102200,1001,102,1,1,1,60.0,2.0,,0,0.80952382,0.625,LPP Only,1,0,0
102238,1003,102,1,0,1,36.0,2.0,,0,0.71428573,0.43478259,LPP Only,1,0,0
102638,1002,102,1,0,0,60.0,8.0,,1,0.64285713,0.36363637,LPP Only,1,0,0
102417,1004,102,1,1,1,55.0,9.0,1.0,0,0.75999999,0.6111111,LPP Only,1,0,0
102610,1004,102,1,0,1,22.0,8.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102227,1001,102,1,1,1,75.0,10.0,,0,0.80952382,0.625,LPP Only,1,0,0
102125,1001,102,1,1,1,35.0,9.0,,0,0.80952382,0.625,LPP Only,1,0,0
102304,1003,102,1,1,1,40.0,9.0,0.0,0,0.70588237,0.43478259,LPP Only,1,0,0
102244,1003,102,1,0,1,40.0,2.0,,0,0.71428573,0.43478259,LPP Only,1,0,0
102231,1001,102,1,1,1,48.0,2.0,,0,0.80952382,0.625,LPP Only,1,0,0
102134,1003,102,1,1,1,40.0,2.0,,0,0.71428573,0.43478259,LPP Only,1,0,0
102522,1002,102,1,0,1,48.0,4.0,1.0,1,0.62962961,0.38095239,LPP Only,1,0,0
102225,1001,102,1,0,0,40.0,2.0,,1,0.80952382,0.625,LPP Only,1,0,0
102220,1001,102,1,0,1,25.0,12.0,,0,0.80952382,0.625,LPP Only,1,0,0
102404,1004,102,1,1,1,48.0,9.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102647,1002,102,1,1,1,45.0,2.0,1.0,0,0.62962961,0.33333334,LPP Only,1,0,0
102201,1001,102,1,1,1,25.0,9.0,,0,0.80952382,0.625,LPP Only,1,0,0
102129,1001,102,1,1,1,38.0,2.0,0.0,1,0.80000001,0.60000002,LPP Only,1,0,0
102609,1004,102,1,1,1,35.0,5.0,1.0,0,0.75999999,0.63157892,LPP Only,1,0,0
102237,1003,102,1,1,1,30.0,12.0,0.0,0,0.70588237,0.40909091,LPP Only,1,0,0
102437,1153,102,1,0,0,29.0,2.0,1.0,1,0.60000002,0.40000001,LPP Only,1,0,0
102400,1004,102,1,1,1,49.0,2.0,1.0,0,0.75999999,0.63157892,LPP Only,1,0,0
102606,1004,102,1,1,1,26.0,1.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102307,1003,102,1,1,1,65.0,1.0,0.0,1,0.70588237,0.40909091,LPP Only,1,0,0
102218,1001,102,1,0,0,48.0,2.0,0.0,1,0.85000002,0.66666669,LPP Only,1,0,0
102502,1004,102,1,1,1,60.0,2.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102131,1003,102,1,0,0,20.0,7.0,,1,0.71428573,0.43478259,LPP Only,1,0,0
102305,1003,102,1,1,1,34.0,8.0,0.0,0,0.70588237,0.43478259,LPP Only,1,0,0
102214,1001,102,1,0,0,67.0,1.0,0.0,1,0.85000002,0.66666669,LPP Only,1,0,0
102700,1001,102,1,1,1,25.0,2.0,,0,0.80952382,0.625,LPP Only,1,0,0
102411,1004,102,1,0,1,31.0,5.0,1.0,0,0.75999999,0.66666669,LPP Only,1,0,0
102323,1003,102,1,0,0,26.0,1.0,0.0,0,0.7352941,0.45454547,LPP Only,1,0,0
102605,1004,102,1,0,1,30.0,15.0,,0,0.76923078,0.63157892,LPP Only,1,0,0
102308,1003,102,1,0,0,37.0,14.0,,1,0.71428573,0.43478259,LPP Only,1,0,0
102142,1003,102,1,0,0,60.0,1.0,,1,0.71428573,0.43478259,LPP Only,1,0,0
102112,1001,102,1,0,0,45.0,1.0,,1,0.80952382,0.625,LPP Only,1,0,0
102540,1153,102,1,0,0,28.0,14.0,,1,0.5625,0.36363637,LPP Only,1,0,0
103602,1006,103,1,1,1,50.0,1.0,0.0,0,1.0,0.77777779,LPP+Subsidy+Supply,1,0,0
103305,1005,103,1,0,1,30.0,12.0,,0,0.78260869,0.69565219,LPP+Subsidy,1,0,0
